hostname;ip;;versao;coleta_lic;pleft;
ra052834.vta.brad;172.24.1.68;27369 BDN SHOPPING PROENG HALL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39553.soc.brad;172.25.194.108; 20880 BDN EXTRA HIPERMECADOS SOROCABA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052217.bnu.brad;172.25.131.68;BDN 27435 SUPERMERCADO BIG BOM;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra026327.ula.brad;172.25.204.116; 22873 - BDN SUPERMERCADO BRETAS LOJA 50;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra030546.sat3.brad;172.27.72.36;AG. 0546 - MARABA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31660ag.sat1.brad;172.27.23.76;AG 1660 PRIME PRACA ALMIRANTE TAMANDARE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052160.fla.brad;172.24.219.188;BDN SECRETARIA DE SEGURANCA PUBLICA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038115bd.sat1.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39554bd.sat1.brad;172.17.2.44; BDN 26278 PAA JOAQUIM NABUCO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22287.csc.brad;172.24.195.92;AG. 2263 DR MAURICIO CARDOSO - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050426.lda.brad;172.25.238.196;BDN 25395 SUPER MUFFATO BELA SUICA;1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra19384ag.mbi.brad;172.24.16.196;1043 AGP PENHA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra14995.rce.brad;172.24.140.252;PAB 3210-01 SECR DA ADM. - ARCOVERDE;C2600 (C2600-IS-M) versao:12.0(7)T;n;-;
ra14984bd.pjk.brad;172.24.37.172; BDN 2944_1053 CARREFOUR - IMIGRANTES II;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053113.cas.brad;172.24.166.76;26494 BDN SUPERMERCADO EXTRA PERTO MONTE MOR;C1700 (C1700-BK9NO3R2SY7-M) versao:12.2(15)T16;n;-;
ra30398.tte.brad;172.27.36.20;AG. 0398 LORENA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39198.cps.brad;172.25.108.108;  21229 BDN HIPERMERCADO FLUMINENSE DE ITAPERUNA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055627.igs.brad;172.24.37.116;26900 BDN CCS PERDIZES;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39731bd.sat1.brad;172.27.58.252; BDN 25764 PAA SEVERIANO MELO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038022bd.sat1.brad;172.17.69.188; BDN 28198 PAA SCO VICENTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22704.pcs.brad;172.25.40.124;0914 AG GUAPE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra030268.pae.brad;172.25.126.204;AG 0268 PORTO ALEGRE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39586bd.sat1.brad;172.27.21.188;BDN 12194 JD. MOTORAMA - GM;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22378.pcs.brad;172.25.79.156;2513 AG POCO FUNDO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050348.tte.brad;172.24.48.60;BDN SHOP CENTER PORTO ITAGUA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra001404.fla.brad;172.25.217.108; AG 1334 AG ESTREITO-MARANHAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30051.lda.brad;172.27.85.84;AG. 0051 - CORNELIO PROCOPIO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra11273bd.csl.brad;172.25.255.60;BDN 12757 - IND. COM. CONFECCOES DAMYLLER LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra037832.bsa.brad;172.26.127.202; BDN PAA 25527 BDN PAA ALTO BOA VISTA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12440bd.scn.brad;172.24.22.124;BDN 7426 BDN PAE COPLATEX IND. COM. S/A TW;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra008197.vta.brad;172.26.137.142;1652 AG TEIXEIRA DE FREITAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20048bd.sts.brad;172.24.247.108;BDN 8834 CALCADAO OTHON;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17913bd.sdr.brad;172.24.211.244;BDN 12078 BDN PAE SECRETARIA DA AGRICULTURA;C2600 (C2600-IS-M) versao:12.1(18);n;-;
ra39407.bru.brad;172.25.227.116;  47 BDN SUPER BOTINHO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra09891.scec.brad;172.26.41.52;20414_28864 BDN SHOPPING ELDORADO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra31573.vta.brad;172.27.61.180;AG 1573 CARAPINA;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra14279.pat.brad;172.24.41.244;PAB 03 ASSOCIAGCO COML SP - AG 0099;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038374.pae.brad;172.25.227.28;10181 BDN POSTO DE COMBUSTIVEIS RADAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052038.sts.brad;172.24.74.204;BDN 26495 SUPERMERCADO DIA  ITANHAEM;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra056449.rce.brad;172.25.92.252;29170 BDN EXTRA ESPINHEIRO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19409pb.fla.brad;172.24.225.244;1 PAB  1019-01  SECRETARIA DA FAZENDA (SETOR PUBLICO - AG 1019;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050070.bsa.brad;172.24.126.228;AGP TAGUATINGA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038121bd.sat1.brad;172.17.6.140; BDN 28345 PAA MATO RICO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19406bd.bnu.brad;172.24.157.140;BDN 13880 PREFEITURA RIO DO SUL - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09478pb.cens.brad;172.24.106.148;PAB 05 MONTEIRO ARANHA - AG 3019;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31425ag.sat1.brad;172.27.13.172;AG 1425 IGUATEMI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051457.bru.brad;172.24.46.108;1166 AG SUPERMERCADO VAREJAO GASPAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035197bd.sat1.brad;172.27.62.92;BDN 14857 CIPA NORDESTE INDUSTRIAL DE PRODUTOS ALIMENTARES SA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22735.fla.brad;172.25.170.228;0728 AG IPUEIRAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra06133bd.dvl.brad;172.25.147.100;2179 - ATM SHOPPING DIVINOP.;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17910bd.sdr.brad;172.24.211.220;BDN 12035 BDN PAE SECRETARIA DA INDUSTRIA E COMERCIO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra14783pb.scec.brad;172.25.113.20;PAB 04 JULIO SIMOES TRANSP E SERV LTDA - AG 0231;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035979.rce.brad;172.25.107.156;50020 BDN PAE SECRETARIA DE EDUCACAO PREF MUNIC SIRINHAEM;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20633bd.fla.brad;172.24.175.188;BDN 21974 PAO DE ACUCAR LJ 255;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051321.nct.brad;172.25.46.244;BDN 21294 / 21295 SHOPPING CENTER PENHA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32029ag.sat1.brad;172.27.238.92;AG 2029 CIDADE OCIAN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22213.bru.brad;;;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra32735.ula.brad;172.27.69.164;AG. 2735 - MARTA HELENA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055724.cpe.brad;172.25.108.60;22187 BDN AUTO POSTO ALIANCA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra037619.cdl.brad;172.26.252.186;8860 BDN CARREFOUR GUADALUPE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra94726pb.poc.brad;172.24.156.188;PAB 06 HOSP. EDMUNDO V - AG 2282;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra13187.nct.brad;172.24.35.4; BDN 2832 BDN ALBERT EINSTEIN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30120ag.sat1.brad;172.27.131.172;AG 0120 JABAQUARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05104bd.rpo.brad;172.25.93.252;BDN 20083 R S COMERCIAL DE COMBUSTIVEL LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04879ag.sdr.brad;172.25.208.124;3016 AG CANDEIAS;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra38360.nct.brad;172.25.21.196;10358 SUPERMERCADO PERI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055437.paa.brad;172.25.73.4;28624 BDN ATACADISTA PIRACICABA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035810bd.sat1.brad;172.17.43.172; BDN 27141 CURRALINHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051911.pat.brad;172.24.53.52;AG. SHOPPING METRO ITAQUERA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16227bd.sdr.brad;172.24.208.244;20146_25737_28583 - BDN BOM PRECO BOCA DO RIO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra20047bd.sts.brad;172.24.247.100;BDN 8833 CALCADAO OTHON;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17943pb.rce.brad;172.24.201.196;1 PAB 0639-01  PREFEITURA CAMPINA GRANDE   - AG 639;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055693.nct.brad;172.25.110.204;21099 BDN PAE SPORTPLEX SC LTDA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra17396ag.fla.brad;172.24.222.12;0600 AG ANTONIO SALES - FLA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra13102pb.pcs.brad;172.24.162.172;PAB 01 AFL DO BRASIL LTDA - AG 1275;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra01204ag.sdr.brad;172.25.213.116;3072 AG CAMPO GRANDE URB.SDR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004602.nct.brad;172.25.32.156;AG 0120 JABAQUARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035701bd.sat1.brad;172.17.34.252; BDN 26949 PILUEZINHOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38890.jai.brad;172.25.97.228;8762 BDN PAE IRMAOS RUSSI SUPERMERCADOS VARZEA PAULISTA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra13081pb.rce.brad;172.25.113.12;PAB 16 PAB EDITORA JORNAL DO COMERCIO - AG 3201;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059408.mbi.brad;172.26.243.118;28926 BDN PAO DE ACUCAR VILA ROMANA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra22862.cba.brad;172.25.76.220;AG 0195 TAUBATE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39029.mbi.brad;172.25.32.148;21906 BDN CARREFOUR DEMARCHI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra8827.fla.brad;172.27.117.188;BDNS_4974_14280 GRENDENE II;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra13073bd.rce.brad;172.24.245.132;BDN 2951 SHOPPING CENTER CARUARU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22083.bru.brad;172.25.47.28;0018 AG DUARTINA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra052637.sts.brad;172.25.58.196;27680 BDN SUPERMERCADO DIA MONGAGUA;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra035917bd.sat1.brad;172.17.50.236; BDN 27373 PAA IBIARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035410.cpe.brad;172.25.189.68;  22529 BDN CARREFOUR CAMPO GRANDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04349ag.cens.brad;172.25.142.84;1852 AG ATAUFO DE PAIVA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035954.rce.brad;172.26.253.102; 14202 BDN PAB C I L COMERCIO DE INFORMATICA LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra057783.pae.brad;172.26.243.66;29363 BDN MAXXI LAJEADO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra22281.cbf.brad;172.24.250.68;1899 AG SAO PEDRO DA ALDEIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22201.paa.brad;172.24.162.228;2564 AG ITIRAPINA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053215.bhe.brad;172.24.112.132;14927 BDN PAE DOMINGOS COSTA INDS ALIMS S A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035930bd.sat1.brad;172.17.51.108;BDN 26876 SANTA HELENA PRIMAVERA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035608.bsa.brad;172.26.240.74;26522 BDN AUTO POSTO MINACU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04457ag.cta.brad;172.24.125.196;AG 2369 BATEL;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra37826bd.sat1.brad;172.27.231.172; BDN 25533 PAA JARDIM DE PIRANHAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035763.cpe.brad;172.24.218.252;14813 BDN REGIMENTO DE CAVALARIA MECANIZADO MS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22190.bru.brad;172.24.218.108;178 AG TAQUARITUBA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09906.ula.brad;172.24.98.84;1954 AG PARA DE MINAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19516bd.jpa.brad;172.24.204.60;BDN 10189 NORDESTAO PONTA NEGRA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22192.bru.brad;172.24.227.124;205 AG HERCULANDIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31389.cba.brad;172.27.77.68;AG. 1389 - VILHENA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra21371bd.igs.brad;172.25.74.180;BDN 14302 CLUBE PAINEIRAS DO MORUMBY;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra03849ag.mga.brad;172.26.134.170;AG 3509 EMPRESAS MARINGA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra056133.vta.brad;172.25.209.28;BDN 28812 OK SUPERATACADO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19708bd.nct.brad;172.24.58.100;BDN 21772 STILLUS AUTO POSTO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31288ag.sat1.brad;172.27.58.36;AG. 1288 - GUARANTA DO NORTE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra033703.sat3.brad;172.27.120.252;AG 3703 PARINTINS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra062430.rce.brad;172.17.112.188; AG AGP 6083 IMPERADOR;C1900 (C1900-UNIVERSALK9-M) versao:15.0(1)M4;y;Period left: Life time;
ra036024.sat1.brad;172.17.80.28; BDN 13637 LIOTECNICA TEC. EM AL. LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22198.csc.brad;172.24.202.236;1581 AG PORECATU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra18577.nct.brad;172.24.37.12;BDN 11506 SUPERMERCADO MASCOTE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04424ag.cens.brad;172.25.142.108;2957 AG LARGO PECHINCHA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05087ag.sdr.brad;172.25.206.188;AG 2273 AV GETULIO VARGAS - FEIRA SANTANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra22503.fla.brad;172.25.18.188;0744 AG SAO BENEDITO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39000bd.sat1.brad;172.27.231.140; BDN 25895 PAA MULUNGU DO MORRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19355bd.cine.brad;172.24.105.212;BDN 0393 AUTO POSTO SIMPATIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra10496.poc.brad;172.25.64.132;3186 AG R GERTRDES DE LIMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22509.srr.brad;172.25.6.180;0034 AG PARAPUA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22194.csl.brad;172.24.193.12;342 AG CAPINZAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04257.bhe.brad;172.25.164.12;3412 AG CARIJOS;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra059813.foz.brad;172.26.240.154;29527 BDN MAKRO FOZ DO IGUACU;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra31165ag.sat1.brad;172.27.178.92;AG 1165 PALACIO DOS LEOES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39893.poc.brad;172.25.204.220; 13652 BDN AUNDE BRASIL S.A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055561.mns.brad;172.25.92.204;28730 BDN POSTO SAN REMO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39587bd.sat1.brad;172.17.4.12;BDN 26104 SUPER BRASIL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12968pb.pae.brad;;;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra22188.bru.brad;172.24.152.44;66 AG PIRAJUI;C1700 (C1700-BNR2Y-M) versao:12.2(11)T9;n;-;
ra056174.cba.brad;172.25.193.180;29002_PAA_69 BDN PAA GLORIA D'OESTE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra18988.oco.brad;172.24.138.100;BDN 2347 ATACADAO ITAQUERA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22186.sdr.brad;172.25.214.196;BDN 22053 - POLIALDEN PETROQUIMICA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035485bd.sat1.brad;172.17.19.12;BDN 26432 MERCADO SCO PAULO - 121368-1;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22268.cba.brad;172.24.181.172;2558 AG CPO NOVO DO PARECIS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22184.bhe.brad;172.25.2.136;2528 AG BOM SUCESSO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19548bd.igs.brad;172.24.71.60;BDN 3116 ROCKWELL BRASE I;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09100bd.poc.brad;172.26.25.196;BDN.7442 TELESP - INTERFACE DE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra021391.cens.brad;172.24.104.236;PAB 02 CLUBE DE REGATAS FLAMENGO - AG 0887;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004699.poc.brad;172.25.54.132;1495 AG ERMELINDO MATARAZZO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08650ag.sjc.brad;172.25.86.92;3219 AG AV SIQUEIRA CAMPOS - SP;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004374.cdl.brad;172.25.117.252;AG 2736 SIQUEIRA CAMPOS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra004686.mbi.brad;172.24.12.204;1415 AG VILA MATILDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19328bd.poc.brad;172.24.25.140;BDN 21823 SUPER SHIBATA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059557.rce.brad;172.26.244.18;50270 BDN PAE HOSPITAL DE AVILA LTDA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39045.sdr.brad;172.27.182.252; BDN 14410 E 14411 PREFEITURA MUNICIPAL DE IBICARAI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra030506.ula.brad;172.27.51.164;AG. 0506 ARAGUARI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12194bd.cpe.brad;172.25.189.20;BDN 0775 AV. AFONSO PENA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19959bd.nct.brad;172.24.226.132;BDN 1903 SHOP.NORTE I;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12827.sts.brad;172.24.76.236;BDN 2995 AUTO POSTO AGENOR;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038186bd.sat1.brad;172.17.79.124; BDN 28540 PAA APUAREMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra06379bd.poc.brad;172.26.26.220;BDN 8995 AUTO POSTO IMPERIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19458bd.bnu.brad;172.24.157.164;BDN 13850 CIRCULO - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04864.mbi.brad;172.25.37.204;2719 AG AVENIDA GOIAIS;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra051393.sdr.brad;172.25.221.244;BDN 26466 SHOPPING SCO CRISTOVCO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra006126.poc.brad;172.25.30.220;BDN 2141 ATM COMERCIAL TAKARA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38899.cba.brad;172.26.252.50;21955 BDN POSTO STA ELISA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059476.cens.brad;172.26.243.194;50233 BDN PROTEGE SA PROTEGCO E TRANSPORTE DE VALORES;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra038163bd.sat1.brad;172.17.78.12; BDN 28494 PAA OURO VERDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra21768bd.pga.brad;172.25.238.244;BDN 7424 SUPERMERCADO SUPERPAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04825ag.pjk.brad;172.25.25.116;2892 AG AV MIGUEL ESTEFAN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039234.mns.brad;172.24.217.252;GERENCIAMENNTO   -  20650 BDN AUTO POSTO NETAO LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra13168.nct.brad;172.24.36.148;BDN 1163  BROOKLIN NOVO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19446bd.cbf.brad;;;2500 (C2500-IS-L) versao:11.3(5)T;n;-;
ra056247.mga.brad;172.25.249.92;BDN 29021 AEROPORTO DE MARINGA - INTERFACE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra11623bd.cens.brad;10.245.248.114;BDN 20276 SHOP NOVA AMERICA;C2600 (C2600-IS-M) versao:12.0(7)T;n;-;
ra38829.cas.brad;172.25.188.156;21242 BND AUTO POSTO LM DE CAMPINAS LTDA.;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20053bd.pat.brad;172.24.247.124;BDN 9187 SHOPPING METRT TATUAPI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra15567pb.cens.brad;172.24.160.164;PAB 01 ASSOC. EDUC. SCO PAULO APSSTOLO - AG 3119;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39206bd.sat1.brad;172.27.238.76; BDN 25608 PAA GOVERNADOR MANGABEIRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22310.fla.brad;172.25.29.76;704 AG ARACOIABA;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra15537bd.cens.brad;172.24.119.92;BDN 20603 CARREFOUR DUQUE DE CAXIAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra30951ag.pae.brad;172.26.253.126;0951 - AG STA. ROSA DO SUL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038210bd.sat1.brad;172.17.81.76; BDN 28592 PAA CORONEL EZEQUIEL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22060.vta.brad;172.25.26.148;1846 AG ICONHA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038959.fla.brad;172.27.227.12; BDN 25858 PAA SOLIDAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059826.blm.brad;172.26.240.206;29516 BDN MAKRO BELEM;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22165.blm.brad;172.25.140.236;1036 AG BARRA DO CORDA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra19480bd.vta.brad;172.24.165.76;BDN 21846 DER DE PETR. SANTA INES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra031388.sat3.brad;172.27.77.52;AG. 1388 - SERRA DOS CARAJAS;2801 (C2801-ENTBASE-M) versao:12.3(14)T6;n;-;
ra37604.poc.brad;172.25.85.188;1915 BDN PAE PLAYCENTER EMP;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra11072.mke.brad;172.25.120.12;BDN 12725 - BDN CASAS SENDAS COM E IND;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035789.rce.brad;172.26.134.90; BDN PAA 27118 BDN PAA SCO RAFAEL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
